metric,cohens_d
toi_pp,3.2817630900547314
shots_all_situations,2.208817464618585
missed_shots,1.9041950915964014
takeaways,1.8282910349660495
avg_toi_per_game_all_situations,1.8267444120177907
avg_toi_per_shift,1.7586114197463583
es_goals_for,1.6167536500887096
avg_es_toi_per_game,1.488815667808841
toi_all_situations,1.3122436140526719
penalties_drawn,1.2828956142853287
es_goals_against,1.2684428890265544
toi_es,1.1522337468259032
toi_ev,1.1522337468259032
toi_5v5,1.084664063799905
giveaways,1.052299076048906
shifts,1.0161634771443968
nst_ixg_all_situations,0.8367323456776798
games_played,0.8144752859290119
nst_iscfs_all_situations,0.7876894745127319
blocked_shots,0.7187686865634588
nst_oi_off_zone_starts_5v5,0.6968757270585813
nst_icf_all_situations,0.6622445924225319
nst_oi_gf_5v5,0.6569068130145322
plus_minus,0.6497922808580057
nst_iff_all_situations,0.6484966217925399
nst_hdcf_all_situations,0.6371779228431274
penalties,0.6323779727964921
nst_oi_xgf_5v5,0.6109376737300085
nst_oi_hdgf_5v5,0.6105637625762804
nst_rebounds_created_all_situations,0.6046648259750443
nst_oi_scf_5v5,0.5546864165286105
nst_oi_hdcf_5v5,0.5537308463303416
nst_oi_sf_5v5,0.5231797849730556
nst_oi_ff_5v5,0.5116620334799796
nst_oi_cf_5v5,0.5021298396279563
total_fow,0.4666844341502342
penalty_minutes,0.4397154527366705
nst_rush_attempts_all_situations,0.40599481611937227
nst_penalties_drawn_all_situations,0.3660021265403138
nst_toi_all_situations,0.32655283927108275
nst_oi_ga_5v5,0.2926567797776932
nst_oi_xga_5v5,0.2914472994385898
nst_oi_neu_zone_starts_5v5,0.28804376127759534
nst_oi_sa_5v5,0.2418753246695567
nst_oi_hdga_5v5,0.24168378732781617
nst_oi_hdca_5v5,0.23821411884465715
nst_oi_fa_5v5,0.2311828077731318
total_faceoffs,0.2282657606889035
nst_oi_ca_5v5,0.21789623849565895
nst_oi_sca_5v5,0.21730594352222257
toi_sh,0.19276096193814166
nst_ipp_all,0.18809232991446906
nst_oi_def_zone_starts_5v5,0.15212493080424094
nst_oi_pdo_all,-0.14169178429606738
hits,-0.07193356705983014
nst_faceoffs_lost_all_situations,-0.06528758848673352
total_fol,0.04016244106348637
nst_faceoffs_won_all_situations,-0.03449666193323834
nst_hits_taken_all_situations,0.031062115713466506
is_top5,
