metric,point_biserial_corr
is_top5,1.0
toi_pp,0.43445123377219286
es_goals_for,0.42236754171194885
pp_toi_pct_of_team,0.41211484012043603
shots_all_situations,0.39753367354209884
avg_toi_per_game_all_situations,0.3860901789736448
avg_es_toi_per_game,0.3566219632735
missed_shots,0.35454481328437615
giveaways,0.3430544310475159
takeaways,0.33648615314793606
avg_toi_per_shift,0.3291243924186119
es_goals_against,0.30075279067386557
toi_all_situations,0.2956436422219255
plus_minus,0.27241583583216833
toi_ev,0.2704294052229856
toi_es,0.2704294052229856
penalties_drawn,0.25855052772838133
toi_5v5,0.25481265235795636
shifts,0.23991394066409835
total_fow,0.21293136581471567
total_faceoffs,0.20651698459885917
total_fol,0.19695534701586984
pp_gf_per_60,0.19049455848485705
nst_oi_gf_5v5,0.1842918313178079
nst_oi_hdgf_5v5,0.18311693856510747
games_played,0.16876756848829588
pp_s_per_60,0.1622936770798811
nst_oi_xgf_5v5,0.1588536358245121
nst_oi_hdcf_5v5,0.1501829896289631
nst_oi_scf_5v5,0.14794820347527946
nst_oi_off_zone_starts_5v5,0.14794009874212363
es_gf_pct,0.13989576780145618
blocked_shots,0.1370808113052104
nst_oi_sf_5v5,0.13706183063002447
nst_icf_all_situations,0.13606266423766528
nst_rebounds_created_all_situations,0.1358745881908775
pp_shooting_pct,0.1345644816647671
es_gf_pct_neg,-0.13410616038402887
nst_oi_ff_5v5,0.13364371020823881
nst_iscfs_all_situations,0.13124542641702774
nst_iff_all_situations,0.13021499816432347
nst_ixg_all_situations,0.1301409223488598
nst_oi_cf_5v5,0.13011082331100457
nst_oi_scf_pct_all_pos,0.12302719802172024
shooting_pct_all_situations,0.12257342969544888
d_zone_fo_pct,0.11794800405947511
o_zone_fo_pct,0.1155903472398627
penalties,0.11374476995700691
nst_oi_cf_pct_all_pos,0.10531951302066105
n_zone_fo_pct,0.10521526032910554
nst_oi_ff_pct_all_pos,0.10399354837728776
nst_toi_all_situations,0.10036039861310338
nst_oi_xga_5v5,0.09946810842943912
nst_oi_xgf_pct_all_pos,0.0961289800497673
nst_oi_mdcf_pct_all_pos,0.095701366492228
nst_oi_sf_pct_all_pos,0.09541453787785896
nst_oi_ga_5v5,0.09527504291652737
nst_oi_gf_pct_all_pos,0.09448100347885967
nst_hdcf_all_situations,0.09275698946023661
nst_penalties_drawn_all_situations,0.091976932249343
nst_rush_attempts_all_situations,0.09131707306189736
sh_shooting_pct,0.0906463700669978
nst_oi_sa_5v5,0.09044525447990778
nst_faceoffs_won_all_situations,0.08843809746462762
nst_oi_hdcf_pct_all_pos,0.08720757238503456
nst_oi_fa_5v5,0.08674460039199884
nst_oi_hdga_5v5,0.08594583231851456
nst_faceoffs_lost_all_situations,0.08540280971970828
nst_oi_sca_5v5,0.08423163847473279
nst_oi_hdca_5v5,0.08295929927936847
nst_oi_ca_5v5,0.08218771771622559
es_gf_pct_pos,0.07896761993455945
nst_oi_neu_zone_starts_5v5,0.07833797514774739
penalty_minutes,0.07668751990748322
ev_faceoff_pct,0.07167237658519335
fow_pct_all_situations,0.07076780205406569
nst_oi_mdgf_pct_all_pos,0.06667125469723625
nst_oi_hdgf_pct_all_pos,0.061420336195761815
nst_hits_taken_all_situations,0.043866262580831636
nst_oi_mdgf_pct_all,0.04160344346517939
nst_oi_def_zone_starts_5v5,0.03659561531915571
nst_oi_shooting_pct_all,0.036306530663021176
nst_oi_mdgf_pct_all_neg,-0.02873262199153819
nst_oi_gf_pct_all,0.028494093534218
nst_oi_hdgf_pct_all,0.028276655509382104
toi_sh,0.0236860877430914
nst_ipp_all,0.023108712753849715
nst_oi_off_zone_start_pct_all,0.021327073412973796
nst_oi_save_pct_all,-0.019968218261787216
nst_oi_hdgf_pct_all_neg,-0.013728985769746786
nst_oi_pdo_all,-0.013666439385234071
nst_oi_scf_pct_all,0.011789929368150109
nst_oi_hdcf_pct_all,0.011772712154539114
nst_oi_mdcf_pct_all,0.01127308354838106
nst_oi_xgf_pct_all,0.009385728587791745
nst_oi_gf_pct_all_neg,-0.009165381714669327
nst_oi_cf_pct_all_neg,0.008872003437323897
nst_oi_ff_pct_all_neg,0.008509313051528898
nst_oi_sf_pct_all_neg,0.008114344711514756
hits,-0.007771654682860153
nst_hdcf_per_60_all_situations,-0.006300428320859633
nst_oi_scf_pct_all_neg,0.005742016537348945
nst_oi_xgf_pct_all_neg,0.0053582226135177645
nst_s_per_60_all_situations,-0.004898725135006177
nst_oi_ff_pct_all,0.0046790589561232976
nst_oi_cf_pct_all,0.00463057187611153
nst_oi_hdcf_pct_all_neg,0.004545341964581643
nst_oi_mdcf_pct_all_neg,0.004538934152152984
nst_oi_sf_pct_all,0.004465976518347573
sh_g_per_60,0.00337252691787265
nst_ixg_per_60_all_situations,0.0028787612059724453
nst_iscfs_per_60_all_situations,0.0018932703317350167
nst_icf_per_60_all_situations,0.0014038674553688178
nst_iff_per_60_all_situations,-0.0009093464522386233
